4e-05	8e-05	0.164	-0.2481
4e-05	8e-05	0.168	-0.244491
4e-05	8e-05	0.172	-0.240998
4e-05	8e-05	0.176	-0.237615
4e-05	8e-05	0.18	-0.234337
4e-05	8e-05	0.184	-0.231158
4e-05	8e-05	0.188	-0.228075
4e-05	8e-05	0.192	-0.225082
4e-05	8e-05	0.196	-0.222175
4e-05	8e-05	0.2	-0.219351
4e-05	0.00012	0.004	-0.219106
4e-05	0.00012	0.008	-0.213771
4e-05	0.00012	0.012	-0.208825
4e-05	0.00012	0.016	-0.204215
4e-05	0.00012	0.02	-0.1999
4e-05	0.00012	0.024	-0.195845
4e-05	0.00012	0.028	-0.192022
4e-05	0.00012	0.032	-0.188408
4e-05	0.00012	0.036	-0.184982
4e-05	0.00012	0.04	-0.181728
4e-05	0.00012	0.044	-0.178629
4e-05	0.00012	0.048	-0.175673
4e-05	0.00012	0.052	-0.172849
4e-05	0.00012	0.056	-0.170145
4e-05	0.00012	0.06	-0.167554
4e-05	0.00012	0.064	-0.165067
4e-05	0.00012	0.068	-0.162677
4e-05	0.00012	0.072	-0.160378
4e-05	0.00012	0.076	-0.158163
4e-05	0.00012	0.08	-0.156027
4e-05	0.00012	0.084	-0.153966
4e-05	0.00012	0.088	-0.151975
4e-05	0.00012	0.092	-0.15005
4e-05	0.00012	0.096	-0.148187
4e-05	0.00012	0.1	-0.146382
4e-05	0.00012	0.104	-0.144634
4e-05	0.00012	0.108	-0.142938
4e-05	0.00012	0.112	-0.141293
4e-05	0.00012	0.116	-0.139695
4e-05	0.00012	0.12	-0.138142
4e-05	0.00012	0.124	-0.136633
4e-05	0.00012	0.128	-0.135164
4e-05	0.00012	0.132	-0.133735
4e-05	0.00012	0.136	-0.132343
4e-05	0.00012	0.14	-0.130988
